,Cell Index,Distance Traveled,Velocity,Trajectory
0,1,"[8.776003714082881, 9.402509496355753, 15.998035517584789, 18.447885136648413, 17.764274256300926, 13.249705330988506, 14.51126820143863, 18.872409497377024, 8.320750364078652, 27.97628166145224, 13.254214833810927, 16.12384070681645, 10.206934861866047, 7.212620266545622, 12.341346098761324, 18.47360647020664, 18.548656910855144, 8.965368628982901, 14.76917291504645, 21.733253900221207, 19.786776978827973, 25.29789142710509, 10.748065503546735, 17.290110818001327, 15.365952622600362, 21.666428691212744, 14.895641383686854, 5.723722564904774, 22.56598691464878]","[4.3880018570414405, 4.701254748177877, 7.9990177587923945, 9.223942568324206, 8.882137128150463, 6.624852665494253, 7.255634100719315, 9.436204748688512, 4.160375182039326, 13.98814083072612, 6.627107416905464, 8.061920353408224, 5.103467430933024, 3.606310133272811, 6.170673049380662, 9.23680323510332, 9.274328455427572, 4.4826843144914506, 7.384586457523225, 10.866626950110604, 9.893388489413987, 12.648945713552544, 5.374032751773368, 8.645055409000664, 7.682976311300181, 10.833214345606372, 7.447820691843427, 2.861861282452387, 11.28299345732439]","[(214.14473684210526, 365.4342105263158), (207.45833333333334, 359.75), (199.84615384615384, 354.2307692307692), (188.05263157894737, 343.42105263157896), (191.36363636363637, 325.27272727272725), (208.13333333333333, 331.1333333333333), (218.22222222222223, 339.72222222222223), (224.07692307692307, 353.0), (235.85, 367.75), (229.9047619047619, 373.57142857142856), (257.64285714285717, 377.2142857142857), (270.5882352941176, 380.05882352941177), (261.53333333333336, 393.4), (254.21428571428572, 386.2857142857143), (255.73529411764707, 379.2352941176471), (267.94117647058823, 377.4117647058824), (266.55555555555554, 395.8333333333333), (284.40909090909093, 400.8636363636364), (281.70588235294116, 409.4117647058824), (272.6842105263158, 421.10526315789474), (252.11111111111111, 428.1111111111111), (271.8666666666667, 427.0), (297.14285714285717, 425.95238095238096), (289.27777777777777, 433.27777777777777), (301.35, 420.9), (316.7, 420.2), (333.90909090909093, 433.3636363636364), (348.68, 431.44), (343.25, 433.25), (324.55555555555554, 445.8888888888889)]"
1,2,"[4.124197785223122, 14.24114095463183, 7.553328284014251, 23.572387224173248, 3.346211980260443, 1.156057936307209, 13.223337226700018, 15.094374474135995, 17.503675418309587, 6.6143089650202604, 21.924931686822134, 14.588472635107989, 20.331608184873623, 13.386762615697627, 1.7832038331567952, 22.040997154293066, 18.5, 25.193561900304818, 19.498760871147788, 16.221774498094753, 22.1819945083177, 14.081319107033892, 18.51583891468688, 6.073116822018515, 7.450698841259166, 22.153703867329323, 14.854974637075076, 3.5893022986368197, 2.96958322624084]","[2.062098892611561, 7.120570477315915, 3.7766641420071254, 11.786193612086624, 1.6731059901302214, 0.5780289681536045, 6.611668613350009, 7.547187237067997, 8.751837709154794, 3.3071544825101302, 10.962465843411067, 7.294236317553994, 10.165804092436812, 6.693381307848814, 0.8916019165783976, 11.020498577146533, 9.25, 12.596780950152409, 9.749380435573894, 8.110887249047376, 11.09099725415885, 7.040659553516946, 9.25791945734344, 3.0365584110092576, 3.725349420629583, 11.076851933664662, 7.427487318537538, 1.7946511493184099, 1.48479161312042]","[(489.06382978723406, 121.7872340425532), (485.0444444444444, 122.71111111111111), (484.9117647058824, 108.47058823529412), (491.0, 104.0), (468.2352941176471, 110.11764705882354), (471.5806451612903, 110.19354838709677), (472.72727272727275, 110.3409090909091), (478.0, 98.21428571428571), (463.05263157894734, 100.3157894736842), (461.96153846153845, 82.84615384615384), (457.77272727272725, 77.72727272727273), (435.94117647058823, 75.70588235294117), (427.0, 64.17857142857143), (437.0, 46.476190476190474), (424.2692307692308, 50.61538461538461), (422.6666666666667, 49.833333333333336), (438.0, 34.0), (444.0, 16.5), (426.82142857142856, 34.92857142857143), (445.52, 29.4), (461.7368421052632, 29.0), (447.5625, 11.9375), (443.88235294117646, 25.529411764705884), (429.1363636363636, 36.72727272727273), (427.25, 42.5), (423.09090909090907, 36.31818181818182), (409.28, 53.64), (402.89473684210526, 67.05263157894737), (401.2352941176471, 70.23529411764706), (398.3888888888889, 69.38888888888889)]"
2,3,"[3.835108857622974, 12.118732753365476, 10.813862390670074, 3.40598803836615, 25.289450906662523, 12.812194594925108, 7.8614424106304845, 11.525697180723173, 9.754381537733364, 9.555423718966079, 10.92647038627025, 10.616467762636592, 7.889233169326418, 14.300349646075091, 29.986040581540365, 18.95818470956461, 29.896683514158664, 7.7036267678428425, 11.389352383135087, 11.264734844067355, 2.5081047450469245, 5.51424236656677, 9.315128265271792, 20.80091830855883, 18.69938224207094, 33.34832995985121, 30.377057543481726, 4.144315048620505, 19.84729879755684]","[1.917554428811487, 6.059366376682738, 5.406931195335037, 1.702994019183075, 12.644725453331262, 6.406097297462554, 3.9307212053152423, 5.762848590361586, 4.877190768866682, 4.7777118594830394, 5.463235193135125, 5.308233881318296, 3.944616584663209, 7.1501748230375455, 14.993020290770183, 9.479092354782304, 14.948341757079332, 3.8518133839214213, 5.6946761915675435, 5.632367422033678, 1.2540523725234622, 2.757121183283385, 4.657564132635896, 10.400459154279416, 9.34969112103547, 16.674164979925607, 15.188528771740863, 2.0721575243102524, 9.92364939877842]","[(195.76923076923077, 78.33333333333333), (193.71428571428572, 81.57142857142857), (191.33333333333334, 69.68888888888888), (197.88235294117646, 78.29411764705883), (194.66666666666666, 79.41666666666667), (216.66666666666666, 66.94444444444444), (229.15384615384616, 64.07692307692308), (236.94117647058823, 63.0), (233.5, 74.0), (236.0, 64.57142857142857), (241.0, 56.42857142857143), (249.14285714285714, 49.142857142857146), (245.2, 59.0), (252.0, 63.0), (240.5, 54.5), (243.61764705882354, 24.676470588235293), (257.38709677419354, 11.64516129032258), (286.0425531914894, 20.170212765957448), (287.0, 12.526315789473685), (283.1463414634146, 23.24390243902439), (277.0833333333333, 13.75), (279.5, 13.078947368421053), (279.13953488372096, 18.58139534883721), (270.4318181818182, 15.272727272727273), (290.45454545454544, 20.90909090909091), (295.8333333333333, 3.0), (262.5, 2.0), (292.375, 7.5), (296.4166666666667, 8.416666666666666), (286.9230769230769, 25.846153846153847)]"
3,4,"[18.2688273122342, 13.314004666518642, 0.7824246709115226, 3.6436859669370896, 13.853031787749034, 3.2260483603875443, 8.095957470792372, 12.515655588377955, 14.348225285444958, 8.791161924847557, 12.786875446076303, 8.937840902589427, 28.24068184571881, 15.363087637108721, 4.326018753648714, 23.956748135963696, 13.37063246447227, 27.068542627928828, 13.837979239090059, 24.409040145283956, 15.92726200140801, 19.364029152012776, 3.383784863137723, 25.867590367194218, 15.040465117541586, 10.464851932118714, 10.992733471125012, 7.050990930201501, 23.569969106418903]","[9.1344136561171, 6.657002333259321, 0.3912123354557613, 1.8218429834685448, 6.926515893874517, 1.6130241801937721, 4.047978735396186, 6.2578277941889775, 7.174112642722479, 4.395580962423779, 6.393437723038152, 4.468920451294713, 14.120340922859405, 7.681543818554361, 2.163009376824357, 11.978374067981848, 6.685316232236135, 13.534271313964414, 6.918989619545029, 12.204520072641978, 7.963631000704005, 9.682014576006388, 1.6918924315688615, 12.933795183597109, 7.520232558770793, 5.232425966059357, 5.496366735562506, 3.5254954651007506, 11.784984553209451]","[(447.71153846153845, 96.07692307692308), (430.4583333333333, 102.08333333333333), (417.1578947368421, 102.6842105263158), (417.89473684210526, 102.42105263157895), (421.04545454545456, 100.5909090909091), (407.3478260869565, 98.52173913043478), (406.5, 95.4090909090909), (410.1578947368421, 102.63157894736842), (422.3636363636364, 99.86363636363636), (409.0869565217391, 105.30434782608695), (401.2857142857143, 109.35714285714286), (410.65, 100.65), (419.3, 98.4), (396.25, 82.08333333333333), (390.0, 96.11764705882354), (387.75, 99.8125), (411.5625, 102.4375), (424.32, 106.44), (425.0, 133.5), (417.72727272727275, 145.27272727272728), (411.57894736842104, 168.89473684210526), (399.0, 159.125), (394.9, 140.2), (396.0, 137.0), (418.3636363636364, 124.0), (432.70588235294116, 119.47058823529412), (440.4583333333333, 126.5), (446.7391304347826, 135.52173913043478), (448.37931034482756, 142.3793103448276), (445.84375, 165.8125)]"
4,5,"[5.970800568425748, 12.944921307382327, 16.71460513118267, 18.580096878111263, 17.740864726669894, 6.673824551376963, 36.609236738268734, 17.219009932949763, 6.114923568568384, 15.755326379076525, 30.2328319354677, 13.618572051445291, 7.604683518710895, 10.129690271671686, 12.27293770863357, 12.021413401313888, 28.59443362509015, 23.034147248712696, 15.470279927736406, 20.23897262886374, 16.338840858158672, 12.38875498183736, 16.463074211701773, 13.441133229754104, 13.472240923847972, 44.54354597505962, 10.997755102017438, 34.30840023275075, 23.091424950046868]","[2.985400284212874, 6.472460653691163, 8.357302565591334, 9.290048439055631, 8.870432363334947, 3.3369122756884817, 18.304618369134367, 8.609504966474882, 3.057461784284192, 7.8776631895382625, 15.11641596773385, 6.8092860257226455, 3.8023417593554476, 5.064845135835843, 6.136468854316785, 6.010706700656944, 14.297216812545075, 11.517073624356348, 7.735139963868203, 10.11948631443187, 8.169420429079336, 6.19437749091868, 8.231537105850887, 6.720566614877052, 6.736120461923986, 22.27177298752981, 5.498877551008719, 17.154200116375375, 11.545712475023434]","[(125.93877551020408, 52.16326530612245), (131.88888888888889, 51.666666666666664), (118.94444444444444, 51.77777777777778), (129.6, 38.9), (115.5, 51.0), (98.1875, 47.125), (91.68181818181819, 45.63636363636363), (55.370370370370374, 50.2962962962963), (42.523809523809526, 61.76190476190476), (45.42857142857143, 67.14285714285714), (40.75, 82.1875), (68.52941176470588, 94.11764705882354), (61.333333333333336, 82.55555555555556), (53.75, 83.125), (63.15, 79.35), (55.2, 70.0), (65.81818181818181, 64.36363636363636), (92.71428571428571, 74.07142857142857), (84.4074074074074, 95.55555555555556), (79.16666666666667, 81.0), (61.88235294117647, 70.47058823529412), (50.125, 59.125), (46.95, 47.15), (39.5625, 32.4375), (39.25, 19.0), (35.714285714285715, 6.0), (22.555555555555557, 48.55555555555556), (26.0, 59.0), (19.642857142857142, 92.71428571428571), (34.09090909090909, 110.72727272727273)]"
5,6,"[4.642435773464388, 12.12413211332609, 23.378145838272516, 2.479880159588814, 1.3507343324358527, 13.445811046967158, 2.9905298356747716, 6.884553753869594, 9.344601484962448, 11.072653659131658, 6.457362151185052, 5.265500339679086, 8.042807272066659, 9.853846897366973, 3.174210825816343, 15.998693826646923, 17.351891107311616, 19.97900460483457, 13.69977282695607, 2.796535307370841, 2.505857335854201, 29.143764074962032, 9.558185354171336, 17.60433076407167, 20.050713481347994, 7.360329098922433, 20.931602506045078, 8.285869661430134, 3.2583675920298765]","[2.321217886732194, 6.062066056663045, 11.689072919136258, 1.239940079794407, 0.6753671662179264, 6.722905523483579, 1.4952649178373858, 3.442276876934797, 4.672300742481224, 5.536326829565829, 3.228681075592526, 2.632750169839543, 4.021403636033329, 4.926923448683486, 1.5871054129081714, 7.999346913323461, 8.675945553655808, 9.989502302417286, 6.849886413478035, 1.3982676536854206, 1.2529286679271006, 14.571882037481016, 4.779092677085668, 8.802165382035835, 10.025356740673997, 3.6801645494612165, 10.465801253022539, 4.142934830715067, 1.6291837960149382]","[(405.23333333333335, 109.6), (401.57894736842104, 106.73684210526316), (389.76, 109.44), (406.17391304347825, 126.08695652173913), (406.7142857142857, 123.66666666666667), (406.6363636363636, 122.31818181818181), (396.4, 113.6), (394.1578947368421, 115.57894736842105), (388.11764705882354, 118.88235294117646), (391.7826086956522, 127.47826086956522), (389.4117647058824, 138.2941176470588), (389.55, 144.75), (387.27777777777777, 149.5), (386.2608695652174, 141.52173913043478), (385.5217391304348, 131.69565217391303), (386.7826086956522, 134.6086956521739), (372.5, 127.4), (359.375, 138.75), (379.35, 138.35), (392.42857142857144, 142.42857142857142), (392.55555555555554, 145.22222222222223), (394.5833333333333, 143.75), (382.4782608695652, 170.2608695652174), (377.7027027027027, 178.54054054054055), (379.2, 161.0), (359.8, 166.06666666666666), (353.6, 162.1), (374.27272727272725, 158.8181818181818), (377.4074074074074, 151.14814814814815), (379.3103448275862, 153.79310344827587)]"
6,7,"[17.7624469279199, 23.333293645405536, 15.921806410861109, 4.127361940557998, 11.517537304244463, 5.127933597681826, 15.924233498221732, 11.907012122576951, 22.500602186728997, 16.940511114609155, 7.564372430497421, 7.108858592366719, 11.995916318074608, 16.221813160748166, 10.284184189542897, 9.734969948037627, 9.297934506546481, 18.798740114804914, 15.960283353336601, 10.461108557116091, 15.18614727661859, 3.711026390562263, 29.571964229250444, 18.042750968915378, 7.251114461569656, 22.76777095437254, 15.821211816520101, 22.535124002112905, 31.912179203241834]","[8.88122346395995, 11.666646822702768, 7.960903205430554, 2.063680970278999, 5.758768652122232, 2.563966798840913, 7.962116749110866, 5.953506061288476, 11.250301093364499, 8.470255557304577, 3.7821862152487107, 3.5544292961833595, 5.997958159037304, 8.110906580374083, 5.142092094771448, 4.867484974018813, 4.6489672532732405, 9.399370057402457, 7.980141676668301, 5.230554278558046, 7.593073638309295, 1.8555131952811315, 14.785982114625222, 9.021375484457689, 3.625557230784828, 11.38388547718627, 7.910605908260051, 11.267562001056453, 15.956089601620917]","[(347.3529411764706, 352.8235294117647), (338.3142857142857, 368.1142857142857), (317.1363636363636, 377.90909090909093), (302.7096774193548, 384.64516129032256), (306.8076923076923, 384.15384615384613), (295.2962962962963, 383.77777777777777), (290.6470588235294, 385.94117647058823), (300.53846153846155, 373.46153846153845), (289.05555555555554, 376.6111111111111), (311.35, 379.65), (315.95652173913044, 363.3478260869565), (321.4074074074074, 368.5925925925926), (322.39473684210526, 361.55263157894734), (320.25, 349.75), (305.26666666666665, 343.53333333333336), (304.6666666666667, 353.8), (313.0877192982456, 358.6842105263158), (315.28, 367.72), (299.81481481481484, 378.4074074074074), (286.0, 386.4), (275.89473684210526, 389.10526315789474), (286.0689655172414, 400.37931034482756), (283.0833333333333, 402.5833333333333), (253.57692307692307, 400.61538461538464), (246.9655172413793, 383.82758620689657), (246.8846153846154, 376.5769230769231), (229.5, 361.875), (243.73076923076923, 354.96153846153845), (222.0, 360.92857142857144), (218.65384615384616, 329.1923076923077)]"
